tweet,label
@bojothebudgie i would never compare my ego to the likes of a budgie ,0
@carolinekristek its a mutual awesomeness lol ,0
done with sunday school.  had a lot of fun ,0
60 followers ,0
@Nololos Good morning Nolo   Coffee is ready and first duck feeding is handled.....  2 hrs &amp; 45 min til girl time ,0
http://twitpic.com/4hgod - My mum said she didn't want any chocolate cake... Pretty hard to belive!! ,0
@daygan fair play. I just miss my beer garden when in Tianjin  happily I am in one in London right now.,0
@nithinkd It will. Soon ,0
@I_love_jesus316 I am tv church right now  Love it! I can watch for hours while workin on here and w/contractor cleanin up storm damage,0
"@kameelahwrites OK, I will get back to you on that ",0
I despise MLA format. It's so annoying. Or maybe I just hate writing essays in general. Gah! Stupid school. Birthday in 4 days!!!!  ?,0
good weekend ,0
"Sup, I'm a big fan! I think u are so adorable ",0
"@jordanknight it's your shirt, your choice. ",0
I highly reccomend screening of these tweets... @thechristinakim is now on twitter ,0
"@dannywood Great plan. Will tell the hubs when he returns from his Guard drill, will call parents now, have already told my rugrats! ",0
@Cafechan Do iiiiiit.  I would! ,0
"@TropicsZ4: &quot;@TropicsZ4:  Beautiful SOng, thanks  Good Morning &quot; ? http://blip.fm/~6t79q",0
SiGNiNG OUT MODE  bb TWiTTER WONDERLAND !!!,0
@PinkyYum i appreciate the love sweetie... thank u ,0
@FranjiFlo COW!!!! SO jealous ,0
@thereedsband i'll pay you to bring me lunch and then dinner at the hospital. and then to see alvin ailey tomorrow. ,0
"@inlovewitharmy Night at the Museum, Accidental Husband, Angels &amp; Demons, and Star Trek  CHYEAH.",0
@pcdnicole Loveeeee ya Nicole!  Can't wait to see you in Singapore in 2 weeks! Have a blast in Sydney! Xoxo.,0
@shanonelise you know what I'm talking about ,0
Hi people ! good morning ,0
@Mennard Oh sorry! It's Social Media Cafe in Manchester http://socialmediacafemanchester.pbworks.com/ - wd be nice to meet you in person ,0
"is planning her Sunday  riding bikes w/hubby, breakfast, movie... nappy time hehehe... working out NOT!",0
@getcampbell coming to Manny's on 6th of June for Cancertown signing? Contractually bound to keep my big mouth shut for now ,0
"is at home, trying to figure out how to use twitter ",0
"@tbush With that kind of money, though, you could brand a turd. Hmm. Actually, just realised that's what a lot of the industry does ",0
@sraad oh I just saw them (A) niceeeee ,0
"@honeemel:better late than never le me guess, falls asleep while packing and a chocolate in one hand heheheh ",0
"I am outta here! Off to DC for some family graduations. Have a great weekend, everyone! ",0
I had several varying thoughts on my way into work this morning. The 1st was about Mr. Rogers &amp; his neighborhood. The weather =beautiful. ,0
"@SweetSoaps Will you take your daughter to the horse show this weekend? Maybe when she's 9, she'll compete ",0
@ksteinkamp You too! Email me if any of my apps explode. ,0
"Nice sunny weather, I'll do some housekeeping related tasks outside. If weather keeps going these days I'll move some office work outside ",0
@edibow Please play any Scouting for girls for my excellent daughter!!! She makes me so so proud ,0
Reached the mark of 1400 followers ,0
@Whatever_Ista erm - I'll assume that means Foreign Office - although it shoulf really be FCO.  x,0
is singing along to the saturdays  x,0
@cissypeoples omg ur soo right! I totally forgot. You just made my day ,0
"Dear followers, plz tweet #bradiewebb and make it 1 on trending topics  haha",0
@DeanCoulson good call! she's stressin' &amp; i hate that...been there...lots of good info on twitter!  i'll suggest it! ,0
eating cookies! yummiii!!  &lt;3,0
happy birthday to me.. ,0
@versesame  may it rain sales  amen to that...,0
plz follow shoshana bean ( @shoshanabean ) and let her know follow her thank to me .Thx! ,0
"@GoodToGoTour I'm confused did I reply to your message to someone else? oops! by the way we met ages ago, I'm not being totally random ",0
@xcaix yay have fun  let the stress of exams slip away.,0
having a good laugh with besto kellie  xx,0
The worst part about my job in warm weather are the flies. They bite my head and arms. ,0
well ok girls im off to the gym to get all sweaty working on my fitness!! ,0
Free house this weekend.  Wooooohooooo ,0
